Id,Name,NameKo,Level,MaxHP,FoundAt,SpriteRuid,ModelId,MoveType,Status
4230126,Mummydog,머미독,62,12600,102040300;102040301,0ae47d738f124c168b67cd52a3f67733,monster4230126,hop,done
4230400,Iron Boar,아이언보어,57,9200,102030200;102030300,e6c2fd7213d44cd3a5dd5eed2e8fb1ce,monster4230400,hop,done
5090000,Shade,셰이드,45,4800,103020320;103020420,4f763744e0ac49469d2305e3c73254b7,monster5090000,walk,done
5130101,Stone Golem,스톤골렘,15,250,100040000;100040100;100040200,8941cb581adb4d70b49ecfe7a2648efe,monster5130101,walk,done
5130102,Dark Stone Golem,다크 스톤골렘,16,275,100040100;100040200;100040300,803ef7a19f244dd39737cdf15960c733,monster5130102,walk,done
5130103,Croco,크로코,47,5280,103030200;103030300,c6b23cd8cb044b2181e4466e86052704,monster5130103,walk,done
5150000,Mixed Golem,믹스골렘,17,300,100040400;100040500,90ae76c7837d48bbbbfa6704520425d0,monster5150000,walk,done
5150001,Skeleton Soldier,스켈레톤 사병,63,13400,102040400;102040401,0f7660bf15a14a379657c4f35fe10fd0,monster5150001,walk,done
5150002,Icy Mixed Golem,아이스 믹스골렘,18,325,100040200,93e645dcfa1d4b8cadf3c64240f40eba,monster5150002,walk,done
5150003,Flaming Mixed Golem,파이어 믹스골렘,19,350,100040300,ab541ad30d4a409484377dfe112740af,monster5150003,walk,done
6220000,Dyle,다일,50,300000,103030300,68070c6f4abe40658899a208ddaf4081,monster6220000,walk,done
6230602,Officer Skeleton,스켈레톤 장교,64,14200,102040500;102040501,8ac51c60a35d49b9a0940f41742556ea,monster6230602,walk,done
7130103,Commander Skeleton,스켈레톤 지휘관,65,15000,102040600,ed882269a5d543318ad73e7032632960,monster7130103,walk,done
9001015,Shadow Dual Blade,쉐도우 듀어러,20,375,103050310,d6e1b792cba545d0a2afa6d78db6885a,monster9001015,walk,done
9001016,Giant Shadow Blade,자이언트 쉐도우,25,525,103050340,7c12c303e69a41749df65014b49f4e2a,monster9001016,walk,done
9001017,Shadow Blade Lord,쉐도우 블레이드,30,900,103050370,cf252b5f46974d33ac01d1d53b806fc3,monster9001017,walk,done
9300274,Cynical Orange Mushroom,시니컬한 주황버섯,11,150,100010001,74dd2989723d49fea80943f3c8e5fc82,monster9300274,hop,done
9300423,Puppetree,리프 퍼펫트리,10,125,101050031,c843521c8de74b7eb73921fa033a1356,monster9300423,walk,done
9300424,Puppetree 2,브라운 퍼펫트리,11,150,101050032,0ca05325f68543869ef805bcb60e8db1,monster9300424,walk,done
9300425,Puppetree 3,플라워 퍼펫트리,13,200,101050033,76ea162ac9fe479aaaa5f6ec34abc72d,monster9300425,walk,done
9300736,Berserk Horny Mushroom,분노한 뿔버섯,13,200,100020200,df12e31426a944469a763b36e264fde2,monster9300736,walk,done
8510000,Pianus,피아누스,110,300000,230040420,207c5d6dcee243ad9a141397244ba9a9,monster8510000,stay,done
8520000,Pianus,피아누스,110,240000,230040420,720eccf71e414b5d8ed2ac7e7411c773,monster8520000,stay,done
