EliteId,Name,BaseMonsterId,Level,MaxHp,ModelId,MoveType,AiType,AttackPower,Defense,KnockbackResist,MoveSpeed,MaterialId,MaterialMin,MaterialMax,Exp,Meso,Enabled,ScaleMul,CoinDrop,DreamDrop,SoulstoneDrop,Tier,#Note
E2220110,자이언트 우는 파란버섯,2220110,17,7625,monster2220110,hop,chase,1080,0,0,0.65,,0,0,380,1800,true,1.8,4,4,1,2,자이언트 우는 파란버섯 · 베이스 Lv17 HP305 공격270 → HP×25 공격×4 Exp×10 메소×10 · 사냥터2 크기×1.8 (WO-027 §9-0 21 · B7)
E2230100,자이언트 이블아이,2230100,10,5375,monster2230100,hop,chase,872,0,0,0.65,,0,0,220,600,true,1.6,2,2,1,1,자이언트 이블아이 · 베이스 Lv10 HP215 공격218 → HP×25 공격×4 Exp×10 메소×10 · 사냥터1 크기×1.6 (WO-027 §9-0 21 · B7)
E2230102,자이언트 와일드보어,2230102,24,19375,monster2230102,hop,chase,1288,0,0,0.65,,0,0,700,4500,true,2.0,6,6,1,3,자이언트 와일드보어 · 베이스 Lv24 HP775 공격322 → HP×25 공격×4 Exp×10 메소×10 · 사냥터3 크기×2.0 (WO-027 §9-0 21 · B7)
E2230112,자이언트 겁먹은 와일드보어,2230112,24,19375,monster2230112,hop,chase,1288,0,0,0.65,,0,0,700,4500,true,2.0,6,6,1,3,자이언트 겁먹은 와일드보어 · 베이스 Lv24 HP775 공격322 → HP×25 공격×4 Exp×10 메소×10 · 사냥터3 크기×2.0 (WO-027 §9-0 21 · B7)
E3230100,자이언트 커즈아이,3230100,17,8750,monster3230100,hop,chase,1080,0,0,0.65,,0,0,380,1800,true,1.8,4,4,1,2,자이언트 커즈아이 · 베이스 Lv17 HP350 공격270 → HP×25 공격×4 Exp×10 메소×10 · 사냥터2 크기×1.8 (WO-027 §9-0 21 · B7)
E3230101,자이언트 주니어 레이스,3230101,24,17750,monster3230101,hop,chase,1288,0,0,0.65,,0,0,700,4500,true,2.0,6,6,1,3,자이언트 주니어 레이스 · 베이스 Lv24 HP710 공격322 → HP×25 공격×4 Exp×10 메소×10 · 사냥터3 크기×2.0 (WO-027 §9-0 21 · B7)
E3230300,자이언트 주니어 부기,3230300,10,4250,monster3230300,walk,chase,872,0,0,,,0,0,220,600,true,1.6,2,2,1,1,자이언트 주니어 부기 · 베이스 Lv10 HP170 공격218 → HP×25 공격×4 Exp×10 메소×10 · 사냥터1 크기×1.6 (WO-027 §9-0 21 · B7)
E4230100,자이언트 콜드아이,4230100,24,13375,monster4230100,hop,chase,1288,0,0,0.65,,0,0,700,4500,true,2.0,6,6,1,3,자이언트 콜드아이 · 베이스 Lv24 HP535 공격322 → HP×25 공격×4 Exp×10 메소×10 · 사냥터3 크기×2.0 (WO-027 §9-0 21 · B7)
E4230103,자이언트 아이언호그,4230103,7,2250,monster4230103,hop,chase,780,0,0,0.65,,0,0,160,120,true,1.6,2,2,1,1,자이언트 아이언호그 · 베이스 Lv7 HP90 공격195 → HP×25 공격×4 Exp×10 메소×10 · 사냥터1 크기×1.6 (WO-027 §9-0 21 · B7)
E5130102,자이언트 다크 스톤골렘,5130102,24,11625,monster5130102,walk,chase,1288,0,0,,,0,0,700,4500,true,2.0,6,6,1,3,자이언트 다크 스톤골렘 · 베이스 Lv24 HP465 공격322 → HP×25 공격×4 Exp×10 메소×10 · 사냥터3 크기×2.0 (WO-027 §9-0 21 · B7)
