Id,Name,Level,MaxHp,Exp,CoinMin,CoinMax,ModelId,MoveType,AiType,MoveSpeed,JumpForce,IconRUID
2130100,다크 엑스텀프 (Dark Axe Stump),22,435,1,1,1,monster2130100,walk,chase,,,fd35894dd92c4e3b8885e59b0f4d3394
2130103,주니어 네키 (Jr. Necki),17,4800,1,1,1,monster2130103,walk,chase,,,03865bd69ec24123a1f06107768bf3c4
2220100,파란버섯 (Blue Mushroom),17,225,1,1,1,monster2220100,hop,chase,0.65,0.81,37f823d5d9ad4468a6502ba195317ac1
2220110,우는 파란버섯 (Crying Blue Mushroom),17,250,1,1,1,monster2220110,hop,chase,0.65,0.81,1a176a7afb114fe7aef2bc58ef2d945b
2230100,이블아이 (Evil Eye),10,580,1,1,1,monster2230100,hop,chase,0.65,0.81,81f20348f7c24712922569a2ea4eb0db
2230101,좀비버섯 (Zombie Mushroom),25,1500,1,1,1,monster2230101,hop,chase,0.65,0.81,3ee3fc0f4d2e443cbb9ec424dd2c012f
2230102,와일드보어 (Wild Boar),24,8000,1,1,1,monster2230102,hop,chase,0.65,0.81,af64c62c1dcf427998c3c52f0a060fec
2230110,우드 마스크 (Wooden Mask),60,11000,1,1,1,monster2230110,walk,chase,,,73ce3620378b471a819c734757a0746a
2230111,스톤 마스크 (Rocky Mask),61,11800,1,1,1,monster2230111,walk,chase,,,d3e7f21dd2a24d7497cfae67dd9fcd9d
2230112,겁먹은 와일드보어 (Terrified Wild Boar),24,8000,1,1,1,monster2230112,hop,chase,0.65,0.81,d8316fab961249cd9e1740c7fe5b3632
2230113,서전아이 (Surgeon Eye),29,790,1,1,1,monster2230113,walk,chase,,,74f97367f99c420b9bef65f9daff4d0d
2230114,늪진흙괴물 (Muddy Swamp Monster),49,5760,1,1,1,monster2230114,walk,chase,,,096e9a374aa74156976f83f25a3f49b4
2230115,새싹진흙괴물 (Muddy Sprout Monster),50,6000,1,1,1,monster2230115,walk,chase,,,05b7c89719f74b39b6ad6ead48422a48
2300100,스티지 (Stirge),43,4400,1,1,1,monster2300100,fly,chase,,,25152ef859744489b7e34a993b3a3c6d
2700310,참새 (Sparrow),20,300,1,1,1,monster2700310,walk,chase,,,462a772b46f64f4e8f03d69656629b09
3000001,페어리 (Fairy),13,200,1,1,1,monster3000001,walk,chase,,,1ed0265245594bf0904ceb88ecaf16ba
3000007,로얄 페어리 (Royal Fairy),15,250,1,1,1,monster3000007,walk,chase,,,4b3afc87ca3e49b0aba5c21de8fe3fca
3110100,리게이터 (Ligator),46,5040,1,1,1,monster3110100,walk,chase,,,f35f98827c6b4e66a447231d06131ee2
3210100,파이어보어 (Fire Boar),58,9800,1,1,1,monster3210100,hop,chase,0.65,0.81,67523b05f66f470cb86b2c6cc46af861
3230100,커즈아이 (Curse Eye),17,650,1,1,1,monster3230100,hop,chase,0.65,0.81,39701cc34097421bb4254e857a57076f
3230101,주니어 레이스 (Jr. Wraith),24,4600,1,1,1,monster3230101,hop,chase,0.65,0.81,ca9fd4116b62417caebde864c675e026
3230300,주니어 부기 (Jr. Boogie),10,250,1,1,1,monster3230300,walk,chase,,,5a7096472ffd4ac388fa826071a435a5
3501100,뾰족 가시 나무 (Thorny Bramble),53,7200,1,1,1,monster3501100,walk,chase,,,bd800e1bffc24071b88096a8de05de10
3501101,숲의 울음꾼 (Forest Howlet),53,7200,1,1,1,monster3501101,walk,chase,,,96640fadb44f4cc490e786f6683b3bd7
3501102,밤의 울음꾼 (Night Howlet),53,7200,1,1,1,monster3501102,walk,chase,,,324dc4f210584e01a26be7c11917d6a3
3501103,지푸라기 뭉치 (Hay Bundle),53,7200,1,1,1,monster3501103,walk,chase,,,dbaa14957aa643b1bea18bf1462dbaa8
3501104,먼지 뭉치 (Dust Bundle),53,7200,1,1,1,monster3501104,walk,chase,,,76f36b4f2b11432bab8824538ecb115e
3501105,깊은 숲 위습 (Deep Forest Wisp),32,2200,1,1,1,monster3501105,fly,chase,,,8f8b271dd1ba4a2f86a6c6c2cd999d3d
3501106,숲의 파수꾼 (Forest Glimmerfox),53,7200,1,1,1,monster3501106,walk,chase,,,6f65c81b1cb744c8981e0271bc28831e
3501107,밤의 파수꾼 (Night Glimmerfox),53,7200,1,1,1,monster3501107,walk,chase,,,63c819f85ea84890bc4e015ee388bbc5
3501108,푸른 샘의 정령 (Blue Spring Sprite),53,7200,1,1,1,monster3501108,walk,chase,,,882af790938d427591cef1fce348e53e
3501109,깊은 샘의 정령 (Deep Spring Sprite),53,7200,1,1,1,monster3501109,walk,chase,,,25492d6e77ee486e9360e66e01c2d0d6
4230100,콜드아이 (Cold Eye),24,720,1,1,1,monster4230100,hop,chase,0.65,0.81,d2526bc21cab4ce8b083393bed6b3841
4230102,레이스 (Wraith),45,4800,1,1,1,monster4230102,hop,chase,0.65,0.81,15e7b98cec434b269c09e97f550921c3
4230103,아이언호그 (Iron Hog),7,8600,1,1,1,monster4230103,hop,chase,0.65,0.81,eadfe08070d343a9afafe0fd6290f1c6
4230125,스켈독 (Skeledog),62,12600,1,1,1,monster4230125,hop,chase,0.65,0.81,0ac80dbfd4e54d908caa008988b035e8
4230126,머미독 (Mummydog),62,12600,1,1,1,monster4230126,hop,chase,0.65,0.81,0ae47d738f124c168b67cd52a3f67733
4230400,아이언보어 (Iron Boar),57,9200,1,1,1,monster4230400,hop,chase,0.65,0.81,e6c2fd7213d44cd3a5dd5eed2e8fb1ce
5090000,셰이드 (Shade),45,4800,1,1,1,monster5090000,walk,chase,,,4f763744e0ac49469d2305e3c73254b7
5130101,스톤골렘 (Stone Golem),15,250,1,1,1,monster5130101,walk,chase,,,23761b84fca14bbfa671436791e4e0bb
5130102,다크 스톤골렘 (Dark Stone Golem),24,275,1,1,1,monster5130102,walk,chase,,,87eea551f4aa4a44a5c83d17717f1a08
5130103,크로코 (Croco),47,5280,1,1,1,monster5130103,walk,chase,,,c67694cddfee4953927519e4f6e6e2c9
5150000,믹스골렘 (Mixed Golem),17,300,1,1,1,monster5150000,walk,chase,,,5d5767f9d72e4a01b818ba858e1a6ec5
5150001,스켈레톤 사병 (Skeleton Soldier),63,13400,1,1,1,monster5150001,walk,chase,,,0f7660bf15a14a379657c4f35fe10fd0
5150002,아이스 믹스골렘 (Icy Mixed Golem),18,325,1,1,1,monster5150002,walk,chase,,,0005abfe9cd345e288a5a0faedb4b163
5150003,파이어 믹스골렘 (Flaming Mixed Golem),19,350,1,1,1,monster5150003,walk,chase,,,c2a3c3ba031440c9bb41884706d71ebc
6220000,다일 (Dyle),50,300000,1,1,1,monster6220000,walk,chase,,,002f7f9d3abc49928a922e8eb3038cf1
6230602,스켈레톤 장교 (Officer Skeleton),64,14200,1,1,1,monster6230602,walk,chase,,,8ac51c60a35d49b9a0940f41742556ea
7130103,스켈레톤 지휘관 (Commander Skeleton),65,15000,1,1,1,monster7130103,walk,chase,,,ed882269a5d543318ad73e7032632960
8510000,피아누스 (Pianus),110,300000,1,1,1,monster8510000,stay,static,,,207c5d6dcee243ad9a141397244ba9a9
9001015,쉐도우 듀어러 (Shadow Dual Blade),20,375,1,1,1,monster9001015,walk,chase,,,d6e1b792cba545d0a2afa6d78db6885a
9001016,자이언트 쉐도우 (Giant Shadow Blade),25,525,1,1,1,monster9001016,walk,chase,,,7c12c303e69a41749df65014b49f4e2a
9001017,쉐도우 블레이드 (Shadow Blade Lord),30,900,1,1,1,monster9001017,walk,chase,,,cf252b5f46974d33ac01d1d53b806fc3
9010028,쓰로우백 리본돼지 (Throwback Ribbon Pig),1,99,1,1,1,monster9010028,hop,chase,0.65,0.81,
9010033,쓰로우백 아이언호그 (Throwback Iron Hog),1,99,1,1,1,monster9010033,hop,chase,0.65,0.81,
9300274,시니컬한 주황버섯 (Cynical Orange Mushroom),11,150,1,1,1,monster9300274,hop,chase,0.65,0.81,a4e381810620417694ee0f0abe7acb40
9300423,리프 퍼펫트리 (Puppetree),10,125,1,1,1,monster9300423,walk,chase,,,c843521c8de74b7eb73921fa033a1356
9300424,브라운 퍼펫트리 (Puppetree 2),11,150,1,1,1,monster9300424,walk,chase,,,0ca05325f68543869ef805bcb60e8db1
9300425,플라워 퍼펫트리 (Puppetree 3),13,200,1,1,1,monster9300425,walk,chase,,,76ea162ac9fe479aaaa5f6ec34abc72d
9300736,분노한 뿔버섯 (Berserk Horny Mushroom),13,200,1,1,1,monster9300736,walk,chase,,,51b23834194a400e93949577cd8923c0
2400572,좀비머쉬맘 (Zombie Mushmom),30,6000,30,3,3,monster2400572,walk,chase,0.5,0,a55d73ba7eb34794ac87ad5a961f5f92
