MotionId,SkillId,WeaponType,CoreAction,PartsAction,PlayRate,PlayType,Enabled,#Note
MOTION_SK_W22_SWORD_1H,SK_W22,SWORD_1H,stabO1,stabO1,1,Onetime,true,도발 시전 = 한손 찌르기(stabO1 한 번 · 2026-09-25 사용자 결정 · #94 · 예전 heal 1.5배속 왕복 "덤벼라") → 1.0s SK_W22_2 빠른 전투 자세 → 1.6s SK_W22_END
MOTION_SK_W22_SWORD_2H,SK_W22,SWORD_2H,alert,alert,2.5,ZigzagLoop,true,도발 두손검 · alert 2.5배속(2026-09-25 사용자 결정 · #94: 두손검 heal 프레임 없음 → 대검이 사라지지 않게 · stabT1 은 이 대검이 안 그려져 쓰지 않는다 · 예전 heal 1.5배속)
MOTION_SK_W22_2_SWORD_1H,SK_W22_2,SWORD_1H,alert,alert,2.5,ZigzagLoop,true,도발 2단 = 빠른 전투 자세(alert 2.5배속 왕복)
MOTION_SK_W22_2_SWORD_2H,SK_W22_2,SWORD_2H,alert,alert,2.5,ZigzagLoop,true,도발 2단 두손검 · alert 2.5배속
MOTION_SK_W31_SWORD_1H,SK_W31,SWORD_1H,alert,alert,2.5,ZigzagLoop,true,불굴의 진 한손 시전 = alert 2.5배속(시전 락 1.5s 동안) → 1.5s SK_W31_2 빠른 전투 자세("진") → 5.5s(컷신 ≈4.8s 가 걷힌 뒤) SK_W31_END 서 있기 · 2026-09-25 사용자 결정(#94): 예전 heal 1.5배속 왕복은 1~2프레임에서 검이 사라졌다 · 라이브 참고 자료 없음(화면 컷신이 자세를 덮는다) · 오리진 원작 동작은 아바타에 없음
MOTION_SK_W31_SWORD_2H,SK_W31,SWORD_2H,alert,alert,2.5,ZigzagLoop,true,불굴의 진 두손검 · alert 2.5배속(2026-09-25 사용자 결정 · #94: 두손검 heal 프레임 없음 → 대검이 사라지지 않게 · 예전 heal 1.5배속)
MOTION_SK_W31_2_SWORD_1H,SK_W31_2,SWORD_1H,alert,alert,2.5,ZigzagLoop,true,불굴의 진 2단 = 빠른 전투 자세(alert 2.5배속 왕복)
MOTION_SK_W31_2_SWORD_2H,SK_W31_2,SWORD_2H,alert,alert,2.5,ZigzagLoop,true,불굴의 진 2단 두손검 · alert 2.5배속
MOTION_SK_W21_END_SWORD_1H,SK_W21_END,SWORD_1H,stand1,stand1,1,ZigzagLoop,true,하이퍼 바디 뒤 서 있기 복귀(한손 무기 stand1 · 안 넣으면 alert 왕복이 움직일 때까지 계속된다)
MOTION_SK_W21_END_SWORD_2H,SK_W21_END,SWORD_2H,stand1,stand1,1,ZigzagLoop,true,하이퍼 바디 뒤 서 있기 복귀(두손검 = stand1 · 2026-09-25 #94: 두손검 아바타 아이템은 stand2 에서 대검을 안 그려 움직일 때까지 대검이 사라졌다 · 엔진 기본 서 있기도 이 대검들에 stand1 을 고른다(Play 확인 · 강철 · 은빛 대검))
MOTION_SK_W22_END_SWORD_1H,SK_W22_END,SWORD_1H,stand1,stand1,1,ZigzagLoop,true,도발 뒤 서 있기 복귀
MOTION_SK_W22_END_SWORD_2H,SK_W22_END,SWORD_2H,stand1,stand1,1,ZigzagLoop,true,도발 뒤 서 있기 복귀(두손검 = stand1 · stand2 는 대검이 안 그려진다 · 2026-09-25 #94)
MOTION_SK_W31_END_SWORD_1H,SK_W31_END,SWORD_1H,stand1,stand1,1,ZigzagLoop,true,불굴의 진 뒤 서 있기 복귀
MOTION_SK_W31_END_SWORD_2H,SK_W31_END,SWORD_2H,stand1,stand1,1,ZigzagLoop,true,불굴의 진 뒤 서 있기 복귀(두손검 = stand1 · stand2 는 대검이 안 그려진다 · 2026-09-25 #94)
MOTION_SK_M11_WAND,SK_M11,WAND,swingO2,swingO2,1,Onetime,true,에너지볼트 = 완드 머리 위 휘두르기(swingO2 · 원작 마법사 공격 스윙 계열 · 기본 공격 swingO1 과 구분) · 2026-09-13 사용자 요청 공격 스킬 = 공격 동작 · 원작 WZ action 값(swingO1/O2)은 색인 오프라인이라 미확인
MOTION_SK_M22_WAND,SK_M22,WAND,heal,heal,1.5,ZigzagLoop,true,매직 가드 시전 = 손을 반복해서 들어 올리기(heal 1.5배속 ZigzagLoop · 시전 락 0.6s 동안) → 1.0s SK_M22_2 빠른 전투 자세 → 1.6s SK_M22_END 서 있기 · 전사 버프(하이퍼 바디)와 같은 순서 · 원작 버프 자세(alert2)는 아바타에 없음 · 2026-09-13 alert Onetime 에서 변경
MOTION_SK_M22_2_WAND,SK_M22_2,WAND,alert,alert,2.5,ZigzagLoop,true,매직 가드 2단 = 빠른 전투 자세(alert 2.5배속 왕복 · 피격 HIT 의 1배속 alert 와 구분) · SkillExecutors.GetMotionSequence 가 1.0s 에 재생
MOTION_SK_M22_END_WAND,SK_M22_END,WAND,stand1,stand1,1,ZigzagLoop,true,매직 가드 뒤 서 있기 복귀(완드 = 한손 stand1 · 안 넣으면 alert 왕복이 움직일 때까지 계속된다)
MOTION_SK_M31_WAND,SK_M31,WAND,heal,heal,1.5,ZigzagLoop,true,대마법 충전 = 전사 불굴의 진과 같은 순서(2026-09-13 사용자 요청 · 공격 동작 아님) · 손을 반복해서 들어 올리기(heal 1.5배속 ZigzagLoop · CSV Duration 2초 충전 동안 기 모으기) → 2.0s SK_M31_2 폭발 순간 빠른 전투 자세 → 5.5s SK_M31_END 서 있기 · 프로즌 라이트닝 컷신이 아바타를 덮는 동안은 안 보일 수 있음(미검증) · 2026-09-13 alert Onetime 에서 변경
MOTION_SK_M31_2_WAND,SK_M31_2,WAND,alert,alert,2.5,ZigzagLoop,true,대마법 2단 = 폭발 순간 빠른 전투 자세(alert 2.5배속 왕복 · 전사 버프의 2단과 같음 · swingO3 공격 동작에서 2026-09-13 변경) · GetMotionSequence 가 2.0s(= CSV Duration 충전 끝 = ExecuteBlast 시점)에 재생
MOTION_SK_M31_END_WAND,SK_M31_END,WAND,stand1,stand1,1,ZigzagLoop,true,대마법 뒤 서 있기 복귀(5.5s · 컷신이 걷힌 뒤 · 시전 락 3.5s 뒤 움직이면 그 즉시 풀림)
MOTION_SK_A21_BOW,SK_A21,BOW,shoot1,shoot1,0.4,Onetime,true,스나이핑 조준 = 활 천천히 당기기(shoot1 0.4배속 · CSV Duration 1초 선딜 동안 · 원작 팩 effect 조준 연출과 같이) → 1.0s SK_A21_2 발사 · 2026-09-13 사용자 요청 "궁수 공격은 전부 활 쏘는 동작(shoot1)" — 원작 신궁 스나이핑은 석궁 shoot2 지만 이 월드의 궁수 무기는 활 · 재시작이 안 돼도 0.4배속 클립의 발사 프레임이 1초 근처에 온다 · b/skill-archer-motion
MOTION_SK_A31_BOW,SK_A31,BOW,shoot1,shoot1,0.5,Onetime,true,폭풍의 화살 시전 = 활 천천히 당기기(shoot1 0.5배속 · 파이널 에임 컷신이 아바타를 덮는 동안 충전) → CSV Duration 1.5s SK_A31_2 발사 → 5.5s SK_A31_END 서 있기 · 2026-09-13 B 변경(shootF 1배속 즉시 발사에서 · b/skill-archer-motion)
MOTION_SK_T11_CLAW,SK_T11,CLAW,swingT3,swingT3,1.2,Onetime,true,럭키 세븐 = 표창 던지기 한 동작(swingT3 1.2배속 · 원작 럭키 세븐 = 던지기 한 번에 표창 2개 · 쉐도우 파트너 팩 special/swingT3 실루엣 = 팔을 앞으로 뻗는 던지기 · swingO3 는 옆으로 크게 베기라 아대 기본 행(A · 미검증 후보)과 구분) · 시전 락 0.4s 안 · 2026-09-13 B 추가(b/skill-thief-motion)
MOTION_SK_T21_CLAW,SK_T21,CLAW,heal,heal,1.5,ZigzagLoop,true,다크 사이트 시전 = 전사 버프·매직 가드와 같은 비공격 순서(2026-09-13 사용자 요청 비공격 스킬은 사용이 보이는 동작) · 손을 반복해서 들어 올리기(heal 1.5배속 왕복 · 은신 연기 이펙트와 같이) → 1.0s SK_T21_2 빠른 전투 자세 → 1.6s SK_T21_END 서 있기 · 원작 다크 사이트는 몸 동작 없이 반투명만 · 2026-09-13 B 변경(alert Onetime 에서 · b/skill-thief-motion)
MOTION_SK_T21_2_CLAW,SK_T21_2,CLAW,alert,alert,2.5,ZigzagLoop,true,다크 사이트 2단 = 빠른 전투 자세(alert 2.5배속 왕복 · 피격 HIT 의 1배속 alert 와 구분)
MOTION_SK_T21_END_CLAW,SK_T21_END,CLAW,stand1,stand1,1,ZigzagLoop,true,다크 사이트 뒤 서 있기 복귀(1.6s · 아대 = 한손 분류 stand1)
MOTION_SK_T22_CLAW,SK_T22,CLAW,heal,heal,1.5,ZigzagLoop,true,쉐도우 파트너 시전 = 같은 비공격 순서(heal 1.5배속 왕복 → 1.0s SK_T22_2 → 1.6s SK_T22_END) · 분신(SkillExecutors.PlayBuffLoop 의 special/stand1 루프)은 시전 뒤에 뜨고 그다음 모션부터 분신이 따라 한다(PlayShadowMimic) · 2026-09-13 B 변경(alert Onetime 에서 · b/skill-thief-motion)
MOTION_SK_T22_2_CLAW,SK_T22_2,CLAW,alert,alert,2.5,ZigzagLoop,true,쉐도우 파트너 2단 = 빠른 전투 자세(분신도 special/alert 로 따라 한다)
MOTION_SK_T22_END_CLAW,SK_T22_END,CLAW,stand1,stand1,1,ZigzagLoop,true,쉐도우 파트너 뒤 서 있기 복귀(1.6s)
MOTION_SK_T31_CLAW,SK_T31,CLAW,alert,alert,1,Onetime,true,메소 익스플로전 시전 = 전투 자세(일도양단 컷신이 아바타를 덮는 동안) → CSV Duration 1.6s SK_T31_2 던지기(피해 시점) → 5.5s SK_T31_END 서 있기 · 2026-09-13 B 순서 추가(b/skill-thief-motion)
MOTION_SK_T31_2_CLAW,SK_T31_2,CLAW,swingT3,swingT3,1.5,Onetime,true,메소 익스플로전 폭발 = 표창 던지기 동작(swingT3 1.5배속 · ExecuteMesoOrigin 의 피해·중심 폭발과 같은 시점 = CSV Duration · 공격 스킬은 공격 동작) · 컷신 아래라 안 보일 수 있고 컷신이 걷히면(≈4.6s 추정) 마지막 프레임이 보인다
MOTION_SK_T31_END_CLAW,SK_T31_END,CLAW,stand1,stand1,1,ZigzagLoop,true,메소 익스플로전 뒤 서 있기 복귀(5.5s · 일도양단 85프레임 ≈ 4.6s 추정 · 미실측)
MOTION_SK_P11_KNUCKLE,SK_P11,KNUCKLE,swingPF,swingPF,1,Onetime,true,섬머솔트 킥(공격) = 너클 피니시 swingPF(웅크림 → 다리를 들고 뛰어오름 → 착지 · 쉐도우 파트너 팩 special/swingPF 실루엣으로 확인) + 원작 백덤블링 = 아바타 루트를 모든 클라에서 한 바퀴 회전(SkillExecutors.PlayBackflip · 0.08s 뒤 0.4s · 몸 가운데 축 · 포물선 · 2026-09-13 사용자 요청 "원작처럼 백덤블링") · 시전 락 0.6 안 · 피해는 회전 중 0.2s · swingP1 = 잽 · swingP2 = 뒤에서 앞으로 훅 · 너클 기본 행 swingO1 은 A 행이라 두었다(swingP1 권장) · b/skill-pirate-motion
MOTION_SK_P21_KNUCKLE,SK_P21,KNUCKLE,heal,heal,1.5,ZigzagLoop,true,슈퍼 트랜스폼 변신(비공격) = 전사 버프·매직 가드와 같은 순서(2026-09-13 사용자 요청 비공격 스킬은 사용이 보이는 동작) · 손을 반복해서 들어 올리기(heal 1.5배속 왕복 · 라이트닝 폼 시전 이펙트와 같이 · 시전 락 0.6) → 1.0s SK_P21_2 빠른 전투 자세 → 1.6s SK_P21_END 서 있기 · 원작 슈퍼 트랜스포메이션은 몸이 통째로 바뀌는 연출이라 아바타에 없음 · 2026-09-13 B 변경(alert Onetime 에서 · b/skill-pirate-motion)
MOTION_SK_P21_2_KNUCKLE,SK_P21_2,KNUCKLE,alert,alert,2.5,ZigzagLoop,true,슈퍼 트랜스폼 2단 = 빠른 전투 자세(alert 2.5배속 왕복 · 피격 HIT 의 1배속 alert 와 구분) · SkillExecutors.GetMotionSequence 가 1.0s 에 재생
MOTION_SK_P21_END_KNUCKLE,SK_P21_END,KNUCKLE,stand1,stand1,1,ZigzagLoop,true,슈퍼 트랜스폼 뒤 서 있기 복귀(1.6s · 너클 = 한손 분류 stand1 · 안 넣으면 alert 왕복이 움직일 때까지 계속된다)
MOTION_SK_P21_RECAST_KNUCKLE,SK_P21_RECAST,KNUCKLE,swingP2,swingP2,1.2,Onetime,true,슈퍼 트랜스폼 변신 중 재시전(주먹 · 공격) = 훅 swingP2(팩 special/swingP2 실루엣 = 팔을 뒤로 뺐다가 앞으로 · 스크류 펀치 이펙트와 같이 · 1.2배속 = 시전 락 0.6 안) · SkillCaster 가 재시전 때 <SkillId>_RECAST 로 조회 · 재시전엔 변신 순서(_2/_END)를 붙이지 않는다(SkillExecutors.Execute 의 IsRecastCast)
MOTION_SK_P22_KNUCKLE,SK_P22,KNUCKLE,heal,heal,1.5,ZigzagLoop,true,에너지 쉴드(비공격) = 같은 버프 순서(heal 1.5배속 왕복 · 시전 락 0.6 · 싸이킥 실드 보호막 루프가 몸을 감싼다) → 1.0s SK_P22_2 빠른 전투 자세 → 1.6s SK_P22_END 서 있기 · 2026-09-13 B 변경(alert Onetime 에서 · b/skill-pirate-motion)
MOTION_SK_P22_2_KNUCKLE,SK_P22_2,KNUCKLE,alert,alert,2.5,ZigzagLoop,true,에너지 쉴드 2단 = 빠른 전투 자세(alert 2.5배속 왕복)
MOTION_SK_P22_END_KNUCKLE,SK_P22_END,KNUCKLE,stand1,stand1,1,ZigzagLoop,true,에너지 쉴드 뒤 서 있기 복귀(1.6s)
MOTION_SK_P31_KNUCKLE,SK_P31,KNUCKLE,alert,alert,1,Onetime,true,함포 사격 시전 = 전투 자세(드레드노트 컷신이 아바타를 덮는 동안 · 그대로) → CSV Duration(1.0 = 첫 폭격) 부터 폭격 파마다 주먹(SK_P31_2 ~ _7 · GetMotionSequence 가 BarrageInterval 0.45 간격 · BarrageWaves 6 파) → 5.5s SK_P31_END 서 있기 · 2026-09-13 B 순서 추가(b/skill-pirate-motion)
MOTION_SK_P31_2_KNUCKLE,SK_P31_2,KNUCKLE,swingP1,swingP1,2,Onetime,true,함포 사격 1파(= CSV Duration · 첫 피해 시점) = 잽 swingP1 2배속(공격 스킬은 공격 동작 · 파 간격 0.45 안에 한 동작) · 컷신 아래라 안 보일 수 있다
MOTION_SK_P31_3_KNUCKLE,SK_P31_3,KNUCKLE,swingP2,swingP2,2,Onetime,true,함포 사격 2파 = 훅 swingP2 2배속(잽·훅을 번갈아 — 같은 액션 재전송은 재시작이 안 될 수 있어 파마다 다른 액션)
MOTION_SK_P31_4_KNUCKLE,SK_P31_4,KNUCKLE,swingP1,swingP1,2,Onetime,true,함포 사격 3파 = 잽 swingP1 2배속
MOTION_SK_P31_5_KNUCKLE,SK_P31_5,KNUCKLE,swingP2,swingP2,2,Onetime,true,함포 사격 4파 = 훅 swingP2 2배속
MOTION_SK_P31_6_KNUCKLE,SK_P31_6,KNUCKLE,swingP1,swingP1,2,Onetime,true,함포 사격 5파 = 잽 swingP1 2배속
MOTION_SK_P31_7_KNUCKLE,SK_P31_7,KNUCKLE,swingPF,swingPF,1.5,Onetime,true,함포 사격 6파(마지막 · Duration + 0.45×5 = 3.25s) = 피니시 swingPF 1.5배속(뛰어오르는 마무리 · 컷신 ≈4.3s 추정이 걷히면 마지막 프레임이 잠깐 보인다)
MOTION_SK_P31_END_KNUCKLE,SK_P31_END,KNUCKLE,stand1,stand1,1,ZigzagLoop,true,함포 사격 뒤 서 있기 복귀(5.5s · 드레드노트 screen 79프레임 ≈ 4.3s 추정(세이크리드 바스티온 89프레임 ≈4.8s 실측 비례) · 미실측 · 시전 락 3.5s 뒤 움직이면 그 즉시 풀림)
MOTION_SK_W11_2_SWORD_1H,SK_W11_2,SWORD_1H,stabOF,stabOF,1,Onetime,true,파워 스트라이크 2단 = 찌르기(stabOF · 팩 afterimage/swordTS/stabOF) · 실행기가 0.75s 에 PlaySkill(SK_W11_2)
MOTION_SK_W11_2_SWORD_2H,SK_W11_2,SWORD_2H,stabOF,stabOF,1,Onetime,true,파워 스트라이크 2단 두손검 = 찌르기(stabOF · 팩 afterimage/swordTL/stabOF)
MOTION_SK_A11_BOW,SK_A11,BOW,shoot1,shoot1,1.2,Onetime,true,더블 샷 = 활 쏘기 한 동작(shoot1 1.2배속 · 원작 더블 샷 = shoot1 한 번에 화살 2발 · 기본 공격 1배속보다 조금 빠르게 · 시전 락 0.4s 안) · 2026-09-13 B 추가(전용 행 · b/skill-archer-motion · 처음 넣었던 2발째 재생 행은 원작대로 한 동작으로 정리)
MOTION_SK_A21_2_BOW,SK_A21_2,BOW,shoot1,shoot1,1.5,Onetime,true,스나이핑 발사 = shoot1 1.5배속 스냅(GetMotionSequence 가 CSV Duration 시점 = FireProjectile 과 같은 순간에 재생 · 시전 행과 같은 액션이라 배속만 다르다 · 🟡 재시작 여부 Play 확인 · 안 돼도 시전 행의 느린 당기기가 그 시점에 발사 프레임)
MOTION_SK_A22_BOW,SK_A22,BOW,heal,heal,1.5,ZigzagLoop,true,닷지 도착 = 전사 버프·마법사 텔레포트와 같은 순서(2026-09-13 사용자 요청 비공격 스킬은 사용이 보이는 동작 · 공격 동작 아님) · 손을 반복해서 들어 올리기(heal 1.5배속 왕복) → 0.75s SK_A22_2 빠른 전투 자세 → 1.2s SK_A22_END 서 있기 · 이동 스킬은 전용 행이 있을 때만 재생(SkillCaster ownRowOnly) · 시전 락이 없어 방향키를 누르고 있으면 걷기가 덮는다 · 원작 닷지는 몸 동작 없음
MOTION_SK_A22_2_BOW,SK_A22_2,BOW,alert,alert,2.5,ZigzagLoop,true,닷지 2단 = 빠른 전투 자세(alert 2.5배속 왕복 · 피격 HIT 의 1배속 alert 와 구분 · 확정 크리 준비)
MOTION_SK_A22_END_BOW,SK_A22_END,BOW,stand2,stand2,1,ZigzagLoop,true,닷지 뒤 서 있기 복귀(1.2s · 활은 엔진 분류가 TwoHandedWeapon 이라 stand2 · 한손 자세가 맞으면 stand1 로 한 칸)
MOTION_SK_A31_2_BOW,SK_A31_2,BOW,shoot1,shoot1,1.5,Onetime,true,폭풍의 화살 발사 = shoot1 1.5배속(직선 관통 피해 ExecuteLineOrigin 과 같은 시점 = CSV Duration · 2026-09-13 사용자 요청으로 shootF 에서 활 쏘기 shoot1 로) · 컷신 아래라 안 보일 수 있음
MOTION_SK_A31_END_BOW,SK_A31_END,BOW,stand2,stand2,1,ZigzagLoop,true,폭풍의 화살 뒤 서 있기 복귀(5.5s · 컷신 133프레임 ≈ 7s 로 추정돼 컷신 아래일 수 있음 · 길면 7.5 로 한 칸)
