RecipeId,ShopKey,ResultItemId,ResultCount,MesoCost,Mat1ItemId,Mat1Count,Mat2ItemId,Mat2Count,Enabled,#Note
RECIPE_SHOES_MAGICIAN_T10,REGION_ELLINIA,SHOES_MAGICIAN_T10,1,150,REGION_ELLINIA_SPIRIT_DUST,5,,0,true,
RECIPE_GLOVES_MAGICIAN_T10,REGION_ELLINIA,GLOVES_MAGICIAN_T10,1,150,REGION_ELLINIA_SPIRIT_DUST,5,,0,true,
RECIPE_WEAPON_MAGICIAN_T20,REGION_ELLINIA,WEAPON_MAGICIAN_T20,1,1000,REGION_ELLINIA_SPIRIT_DUST,15,,0,true,
RECIPE_HAT_MAGICIAN_T20,REGION_ELLINIA,HAT_MAGICIAN_T20,1,500,REGION_ELLINIA_SPIRIT_DUST,15,,0,true,
RECIPE_TOP_MAGICIAN_T20,REGION_ELLINIA,TOP_MAGICIAN_T20,1,500,REGION_ELLINIA_SPIRIT_DUST,15,,0,true,
RECIPE_BOTTOM_MAGICIAN_T20,REGION_ELLINIA,BOTTOM_MAGICIAN_T20,1,500,REGION_ELLINIA_SPIRIT_DUST,15,,0,true,
RECIPE_SHOES_MAGICIAN_T20,REGION_ELLINIA,SHOES_MAGICIAN_T20,1,500,REGION_ELLINIA_SPIRIT_DUST,15,,0,true,
RECIPE_GLOVES_MAGICIAN_T20,REGION_ELLINIA,GLOVES_MAGICIAN_T20,1,500,REGION_ELLINIA_SPIRIT_DUST,15,,0,true,
RECIPE_WEAPON_MAGICIAN_T30,REGION_ELLINIA,WEAPON_MAGICIAN_T30,1,3000,REGION_ELLINIA_SPIRIT_DUST,40,,0,true,
RECIPE_HAT_MAGICIAN_T30,REGION_ELLINIA,HAT_MAGICIAN_T30,1,1500,REGION_ELLINIA_SPIRIT_DUST,40,,0,true,
RECIPE_TOP_MAGICIAN_T30,REGION_ELLINIA,TOP_MAGICIAN_T30,1,1500,REGION_ELLINIA_SPIRIT_DUST,40,,0,true,
RECIPE_BOTTOM_MAGICIAN_T30,REGION_ELLINIA,BOTTOM_MAGICIAN_T30,1,1500,REGION_ELLINIA_SPIRIT_DUST,40,,0,true,
RECIPE_SHOES_MAGICIAN_T30,REGION_ELLINIA,SHOES_MAGICIAN_T30,1,1500,REGION_ELLINIA_SPIRIT_DUST,40,,0,true,
RECIPE_GLOVES_MAGICIAN_T30,REGION_ELLINIA,GLOVES_MAGICIAN_T30,1,1500,REGION_ELLINIA_SPIRIT_DUST,40,,0,true,
RECIPE_WEAPON_ARCHER_T10,REGION_HENESYS,WEAPON_ARCHER_T10,1,300,REGION_HENESYS_SPORE,5,,0,true,
RECIPE_HAT_ARCHER_T10,REGION_HENESYS,HAT_ARCHER_T10,1,150,REGION_HENESYS_SPORE,5,,0,true,
RECIPE_TOP_ARCHER_T10,REGION_HENESYS,TOP_ARCHER_T10,1,150,REGION_HENESYS_SPORE,5,,0,true,
RECIPE_BOTTOM_ARCHER_T10,REGION_HENESYS,BOTTOM_ARCHER_T10,1,150,REGION_HENESYS_SPORE,5,,0,true,
RECIPE_SHOES_ARCHER_T10,REGION_HENESYS,SHOES_ARCHER_T10,1,150,REGION_HENESYS_SPORE,5,,0,true,
RECIPE_GLOVES_ARCHER_T10,REGION_HENESYS,GLOVES_ARCHER_T10,1,150,REGION_HENESYS_SPORE,5,,0,true,
RECIPE_WEAPON_ARCHER_T20,REGION_HENESYS,WEAPON_ARCHER_T20,1,1000,REGION_HENESYS_SPORE,15,,0,true,
RECIPE_HAT_ARCHER_T20,REGION_HENESYS,HAT_ARCHER_T20,1,500,REGION_HENESYS_SPORE,15,,0,true,
RECIPE_TOP_ARCHER_T20,REGION_HENESYS,TOP_ARCHER_T20,1,500,REGION_HENESYS_SPORE,15,,0,true,
RECIPE_BOTTOM_ARCHER_T20,REGION_HENESYS,BOTTOM_ARCHER_T20,1,500,REGION_HENESYS_SPORE,15,,0,true,
RECIPE_SHOES_ARCHER_T20,REGION_HENESYS,SHOES_ARCHER_T20,1,500,REGION_HENESYS_SPORE,15,,0,true,
RECIPE_GLOVES_ARCHER_T20,REGION_HENESYS,GLOVES_ARCHER_T20,1,500,REGION_HENESYS_SPORE,15,,0,true,
RECIPE_WEAPON_ARCHER_T30,REGION_HENESYS,WEAPON_ARCHER_T30,1,3000,REGION_HENESYS_SPORE,40,,0,true,
RECIPE_HAT_ARCHER_T30,REGION_HENESYS,HAT_ARCHER_T30,1,1500,REGION_HENESYS_SPORE,40,,0,true,
RECIPE_TOP_ARCHER_T30,REGION_HENESYS,TOP_ARCHER_T30,1,1500,REGION_HENESYS_SPORE,40,,0,true,
RECIPE_BOTTOM_ARCHER_T30,REGION_HENESYS,BOTTOM_ARCHER_T30,1,1500,REGION_HENESYS_SPORE,40,,0,true,
RECIPE_SHOES_ARCHER_T30,REGION_HENESYS,SHOES_ARCHER_T30,1,1500,REGION_HENESYS_SPORE,40,,0,true,
RECIPE_GLOVES_ARCHER_T30,REGION_HENESYS,GLOVES_ARCHER_T30,1,1500,REGION_HENESYS_SPORE,40,,0,true,
RECIPE_WEAPON_THIEF_T10,REGION_KERNING,WEAPON_THIEF_T10,1,300,REGION_KERNING_THIEF_COIN,5,,0,true,
RECIPE_HAT_THIEF_T10,REGION_KERNING,HAT_THIEF_T10,1,150,REGION_KERNING_THIEF_COIN,5,,0,true,
RECIPE_TOP_THIEF_T10,REGION_KERNING,TOP_THIEF_T10,1,150,REGION_KERNING_THIEF_COIN,5,,0,true,
RECIPE_BOTTOM_THIEF_T10,REGION_KERNING,BOTTOM_THIEF_T10,1,150,REGION_KERNING_THIEF_COIN,5,,0,true,
RECIPE_SHOES_THIEF_T10,REGION_KERNING,SHOES_THIEF_T10,1,150,REGION_KERNING_THIEF_COIN,5,,0,true,
RECIPE_GLOVES_THIEF_T10,REGION_KERNING,GLOVES_THIEF_T10,1,150,REGION_KERNING_THIEF_COIN,5,,0,true,
RECIPE_WEAPON_THIEF_T20,REGION_KERNING,WEAPON_THIEF_T20,1,1000,REGION_KERNING_THIEF_COIN,15,,0,true,
RECIPE_HAT_THIEF_T20,REGION_KERNING,HAT_THIEF_T20,1,500,REGION_KERNING_THIEF_COIN,15,,0,true,
RECIPE_TOP_THIEF_T20,REGION_KERNING,TOP_THIEF_T20,1,500,REGION_KERNING_THIEF_COIN,15,,0,true,
RECIPE_BOTTOM_THIEF_T20,REGION_KERNING,BOTTOM_THIEF_T20,1,500,REGION_KERNING_THIEF_COIN,15,,0,true,
RECIPE_SHOES_THIEF_T20,REGION_KERNING,SHOES_THIEF_T20,1,500,REGION_KERNING_THIEF_COIN,15,,0,true,
RECIPE_GLOVES_THIEF_T20,REGION_KERNING,GLOVES_THIEF_T20,1,500,REGION_KERNING_THIEF_COIN,15,,0,true,
RECIPE_WEAPON_THIEF_T30,REGION_KERNING,WEAPON_THIEF_T30,1,3000,REGION_KERNING_THIEF_COIN,40,,0,true,
RECIPE_HAT_THIEF_T30,REGION_KERNING,HAT_THIEF_T30,1,1500,REGION_KERNING_THIEF_COIN,40,,0,true,
RECIPE_TOP_THIEF_T30,REGION_KERNING,TOP_THIEF_T30,1,1500,REGION_KERNING_THIEF_COIN,40,,0,true,
RECIPE_BOTTOM_THIEF_T30,REGION_KERNING,BOTTOM_THIEF_T30,1,1500,REGION_KERNING_THIEF_COIN,40,,0,true,
RECIPE_SHOES_THIEF_T30,REGION_KERNING,SHOES_THIEF_T30,1,1500,REGION_KERNING_THIEF_COIN,40,,0,true,
RECIPE_GLOVES_THIEF_T30,REGION_KERNING,GLOVES_THIEF_T30,1,1500,REGION_KERNING_THIEF_COIN,40,,0,true,
RECIPE_WEAPON_PIRATE_T10,REGION_NAUTILUS,WEAPON_PIRATE_T10,1,300,REGION_NAUTILUS_PIRATE_COIN,5,,0,true,
RECIPE_HAT_PIRATE_T10,REGION_NAUTILUS,HAT_PIRATE_T10,1,150,REGION_NAUTILUS_PIRATE_COIN,5,,0,true,
RECIPE_TOP_PIRATE_T10,REGION_NAUTILUS,TOP_PIRATE_T10,1,150,REGION_NAUTILUS_PIRATE_COIN,5,,0,true,
RECIPE_BOTTOM_PIRATE_T10,REGION_NAUTILUS,BOTTOM_PIRATE_T10,1,150,REGION_NAUTILUS_PIRATE_COIN,5,,0,true,
RECIPE_SHOES_PIRATE_T10,REGION_NAUTILUS,SHOES_PIRATE_T10,1,150,REGION_NAUTILUS_PIRATE_COIN,5,,0,true,
RECIPE_GLOVES_PIRATE_T10,REGION_NAUTILUS,GLOVES_PIRATE_T10,1,150,REGION_NAUTILUS_PIRATE_COIN,5,,0,true,
RECIPE_WEAPON_PIRATE_T20,REGION_NAUTILUS,WEAPON_PIRATE_T20,1,1000,REGION_NAUTILUS_PIRATE_COIN,15,,0,true,
RECIPE_HAT_PIRATE_T20,REGION_NAUTILUS,HAT_PIRATE_T20,1,500,REGION_NAUTILUS_PIRATE_COIN,15,,0,true,
RECIPE_TOP_PIRATE_T20,REGION_NAUTILUS,TOP_PIRATE_T20,1,500,REGION_NAUTILUS_PIRATE_COIN,15,,0,true,
RECIPE_BOTTOM_PIRATE_T20,REGION_NAUTILUS,BOTTOM_PIRATE_T20,1,500,REGION_NAUTILUS_PIRATE_COIN,15,,0,true,
RECIPE_SHOES_PIRATE_T20,REGION_NAUTILUS,SHOES_PIRATE_T20,1,500,REGION_NAUTILUS_PIRATE_COIN,15,,0,true,
RECIPE_GLOVES_PIRATE_T20,REGION_NAUTILUS,GLOVES_PIRATE_T20,1,500,REGION_NAUTILUS_PIRATE_COIN,15,,0,true,
RECIPE_WEAPON_PIRATE_T30,REGION_NAUTILUS,WEAPON_PIRATE_T30,1,3000,REGION_NAUTILUS_PIRATE_COIN,40,,0,true,
RECIPE_HAT_PIRATE_T30,REGION_NAUTILUS,HAT_PIRATE_T30,1,1500,REGION_NAUTILUS_PIRATE_COIN,40,,0,true,
RECIPE_TOP_PIRATE_T30,REGION_NAUTILUS,TOP_PIRATE_T30,1,1500,REGION_NAUTILUS_PIRATE_COIN,40,,0,true,
RECIPE_BOTTOM_PIRATE_T30,REGION_NAUTILUS,BOTTOM_PIRATE_T30,1,1500,REGION_NAUTILUS_PIRATE_COIN,40,,0,true,
RECIPE_SHOES_PIRATE_T30,REGION_NAUTILUS,SHOES_PIRATE_T30,1,1500,REGION_NAUTILUS_PIRATE_COIN,40,,0,true,
RECIPE_GLOVES_PIRATE_T30,REGION_NAUTILUS,GLOVES_PIRATE_T30,1,1500,REGION_NAUTILUS_PIRATE_COIN,40,,0,true,
RECIPE_WEAPON_WOODEN_SWORD,NOVICE,WEAPON_WOODEN_SWORD,1,100,,0,,0,true,리스항구 초보자 상점 · 메소만 · PUBLIC
RECIPE_HAT_WHITE_BANDANA,NOVICE,HAT_WHITE_BANDANA,1,50,,0,,0,true,
RECIPE_TOP_WHITE_UNDERSHIRT,NOVICE,TOP_WHITE_UNDERSHIRT,1,50,,0,,0,true,
RECIPE_BOTTOM_BLUE_JEAN_SHORTS,NOVICE,BOTTOM_BLUE_JEAN_SHORTS,1,50,,0,,0,true,
RECIPE_SHOES_RED_RUBBER_BOOTS,NOVICE,SHOES_RED_RUBBER_BOOTS,1,50,,0,,0,true,
RECIPE_GLOVES_LEATHER,NOVICE,GLOVES_LEATHER,1,50,,0,,0,true,
