StepKey,Kind,Text,MarkerMap,Once,Enabled,#Note
T9,TOAST,30초 뒤 리스항구 입장이 막힙니다 — 전직을 마치고 여섯갈래길로 나가세요,,true,true,4:00 (WO-028 · B10)
T10,TOAST,30초 뒤 웨이브 — 사냥터 2 포탑으로,,false,true,각 웨이브 30초 전 · 매번 (WO-028 · B10)
T11,TOAST,포탑이 혼자 막기엔 벅찹니다 — 도와주세요,,true,true,첫 웨이브 생성(공용 토스트 뒤) (WO-028 · B10)
T12,TOAST,포탑이 파괴됐습니다 — 억제기가 뚫리면 넥서스가 노출됩니다. 주화로 재건할 수 있어요,,false,true,내 포탑 파괴 · 매번 (WO-028 · B10)
T13,TOAST,억제기 폭발! 주변 미니언이 전멸했지만 넥서스가 노출됐습니다 — 재건은 방어 시설 관리인,,false,true,내 억제기 파괴 · 매번 (WO-028 · B10)
T14,TOAST,지역 재화 25개 — 마을 보스에 도전할 수 있습니다 (영혼석 20개),,true,true,지역 재화 ≥ 25 (WO-028 · B10)
T15,TOAST,만렙! 영혼석 5개를 모아 발록에 도전하세요,,true,true,Lv30 (WO-028 · B10)
T16,TOAST,물약이 없습니다 — 마을 물약 상인(리스항구에도 있음),,true,true,HP 30% 이하 · 물약 0 — 플레이어 HP 조회 API 없어 미구현(B PlayerHit) (WO-028 · B10)
T17,TOAST,(부활 팝업 자체) 내 마을에서 부활 — 5000메소 / 경험치 50% 중 선택,,false,true,B9 RevivePopupGroup 이 담당 · 여기선 안 씀 (WO-028 · B10)
T18,TOAST,(기존 침범 알림 재사용),,false,true,LaneStateService 기존 알림 · 여기선 안 씀 (WO-028 · B10)
C1,CHECK,레벨 10,,,true,WO-028 · B10
C2,CHECK,전직,,,true,WO-028 · B10
C3,CHECK,마을 차지,,,true,WO-028 · B10
C4,CHECK,첫 웨이브 방어(포탑 생존),,,true,WO-028 · B10
C5,CHECK,수비대 1묶음 모집,,,true,WO-028 · B10
C6,CHECK,포탑 1회 강화,,,true,WO-028 · B10
C7,CHECK,장비 1회 강화,,,true,WO-028 · B10
C8,CHECK,사냥터 2 도달(Lv17),,,true,WO-028 · B10
C9,CHECK,엘리트 1마리 처치,,,true,WO-028 · B10
C10,CHECK,마을 보스 처치,,,true,WO-028 · B10
C11,CHECK,만렙 30,,,true,WO-028 · B10
C12,CHECK,발록 도전,,,true,WO-028 · B10
C13,CHECK,발록 처치,,,true,WO-028 · B10
