SkillId,Tab,SlotOrder,SkillName,IconRUID,Description,MaxLevel,SpCost,EffectPerLevel,Cooldown,ReqJob,ReqTier,ReqLevel,Behavior,MpCost,BaseEffect,Range,Speed,Duration,HitCount,UseLimit,EffectUnit,MaxStack,SecondaryEffect,SecondaryPerLevel,DurationPerLevel,CooldownPerLevel,BuffTag,SpawnOffsetY,#Note
SK_A31,3,5,폭풍의 화살,,직선상의 모든 적을 관통하며 초고피해를 입힌다.,1,1,0,0,ARCHER,3,30,ORIGIN,55,4000,15,0,0,1,1,ATK_PCT,0,0,0,0,0,,0,4000% x 75 = 3000
SK_T11,1,1,럭키 세븐,,표창 2개를 던진다.,5,1,10,0,THIEF,1,10,PROJECTILE,6,80,5,14,0,2,0,ATK_PCT,0,0,0,0,0,,0.5,TENTATIVE: speed/mp not in GDD
SK_T12,1,2,픽파켓,,몬스터를 한 번 때릴 때마다 메소가 즉시 드랍된다. 기존 드랍에는 영향이 없다.,5,1,0.25,0,THIEF,1,10,PASSIVE,0,1,0,0,0,0,0,FLAT,0,0,0,0,0,STACK_GAIN,0,"feeds the stack counter consumed by sk_t31. 1 meso at lv1, 2 at lv5"
SK_T21,2,3,다크 사이트,,10초간 은신하여 공격 한 번을 반드시 회피한다. 회피하면 해제된다.,5,1,0,50,THIEF,2,20,BUFF_SELF,15,10,0,0,10,0,0,SEC,0,0,0,0,-5,DARK_SIGHT,0,cooldown shrinks 50->30s as level rises
SK_T22,2,4,쉐도우 파트너,,분신을 소환하여 화력이 2배가 된다.,5,1,0,120,THIEF,2,20,BUFF_SELF,25,100,0,0,60,0,0,RATIO,0,0,0,0,-15,SHADOW_PARTNER,0,"TENTATIVE: GDD says unlock 30, set to 20 - every other class D slot is 20"
SK_T31,3,5,메소 익스플로전,,쌓아둔 메소를 소환해 주변 지역을 폭발시킨다.,1,1,0,0,THIEF,3,30,ORIGIN,50,50,6,0,0,0,1,STACK_PCT,0,0,0,0,0,,0,max_stack=0 = unlimited per planner. stack resets to 0 after firing
SK_P11,1,1,섬머솔트 킥,,백덤블링하며 전방의 적을 공격한다.,5,1,37.5,0,PIRATE,1,10,MELEE_ARC,8,125,2,0,0,1,0,ATK_PCT,0,0,0,0,0,,0,TENTATIVE: cooldown/mp not in GDD
SK_P12,1,2,선원 관리,,수비 몬스터 모집과 훈련에 드는 재화가 감소한다.,5,1,5,0,PIRATE,1,10,PASSIVE,0,15,0,0,0,0,0,RATIO,0,0,0,0,0,COST_REDUCE_RECRUIT,0,pet/recruit system not my domain - emit value only
SK_P21,2,3,슈퍼 트랜스폼,,"변신하여 이동속도와 점프력이 증가하고, 재사용 시 전방의 다수 적에게 주먹 공격을 한다.",5,1,50,60,PIRATE,2,20,BUFF_SELF,20,300,3,0,30,1,0,ATK_PCT,0,0,0,0,0,SUPER_TRANSFORM,0,GDD ch.7 text says pirate '회복하며 버팀' but no heal exists in the table - kept table as written
SK_P22,2,4,에너지 쉴드,,최대 체력에 비례한 보호막이 생긴다.,5,1,5,30,PIRATE,2,20,BUFF_SELF,18,10,0,0,0,0,0,HP_PCT,0,0,0,0,0,ENERGY_SHIELD,0,max HP owned by stat system - read via event
SK_P31,3,5,함포 사격,,넓은 범위에 연속 폭격을 가한다.,1,1,0,0,PIRATE,3,30,ORIGIN,55,150,8,0,0,30,1,ATK_PCT,0,0,0,0,0,,0,150% x 30 hits x 75 atk = 3375 total
