RouteId,FromMap,FromPortal,ToMap,ToPortal,Enabled,#Note
K06B,SixPathCrossway,P_To_KerningCity_Hunt_SubwayLine1,KerningCity_Hunt_SubwayLine1,P_To_SixPathCrossway,true,Kerning to SixPath
H01A,Henesys_Boss_Mushmom,P_To_Henesys_Hunt_BlueMushroomTrail,Henesys_Hunt_BlueMushroomTrail,P_To_Henesys_Boss_Mushmom,true,Henesys boss route
H01B,Henesys_Hunt_BlueMushroomTrail,P_To_Henesys_Boss_Mushmom,Henesys_Boss_Mushmom,P_To_Henesys_Hunt_BlueMushroomTrail,true,Henesys boss route
H02A,Henesys_Hunt_BlueMushroomTrail,P_To_Henesys_Village_MinimiMain,Henesys_Village_MinimiMain,P_To_Henesys_Hunt_BlueMushroomTrail,true,Henesys village west
H02B,Henesys_Village_MinimiMain,P_To_Henesys_Hunt_BlueMushroomTrail,Henesys_Hunt_BlueMushroomTrail,P_To_Henesys_Village_MinimiMain,true,Henesys village west
H03A,Henesys_Village_MinimiMain,P_To_Henesys_Hunt_HillNorth,Henesys_Hunt_HillNorth,P_To_Henesys_Village_MinimiMain,true,Henesys village east
H03B,Henesys_Hunt_HillNorth,P_To_Henesys_Village_MinimiMain,Henesys_Village_MinimiMain,P_To_Henesys_Hunt_HillNorth,true,Henesys village east
H04A,Henesys_Hunt_HillNorth,P_To_Henesys_Hunt_GolemsTemple,Henesys_Hunt_GolemsTemple,P_To_Henesys_Hunt_HillNorth,true,Henesys to Golem temple
H04B,Henesys_Hunt_GolemsTemple,P_To_Henesys_Hunt_HillNorth,Henesys_Hunt_HillNorth,P_To_Henesys_Hunt_GolemsTemple,true,Henesys to Golem temple
H05A,Henesys_Hunt_GolemsTemple,P_To_SixPathCrossway,SixPathCrossway,P_To_Henesys_Hunt_GolemsTemple,true,Henesys to SixPath
H05B,SixPathCrossway,P_To_Henesys_Hunt_GolemsTemple,Henesys_Hunt_GolemsTemple,P_To_SixPathCrossway,true,Henesys to SixPath
E01A,Ellinia_Boss_Ephenia,P_To_Ellinia_Hunt_GiantTree,Ellinia_Hunt_GiantTree,P_To_Ellinia_Boss_Ephenia,true,Ellinia boss route
E01B,Ellinia_Hunt_GiantTree,P_To_Ellinia_Boss_Ephenia,Ellinia_Boss_Ephenia,P_To_Ellinia_Hunt_GiantTree,true,Ellinia boss route
E02A,Ellinia_Hunt_GiantTree,P_To_Ellinia_Village_MinimiMain,Ellinia_Village_MinimiMain,P_To_Ellinia_Hunt_GiantTree,true,Ellinia village west
E02B,Ellinia_Village_MinimiMain,P_To_Ellinia_Hunt_GiantTree,Ellinia_Hunt_GiantTree,P_To_Ellinia_Village_MinimiMain,true,Ellinia village west
E03A,Ellinia_Village_MinimiMain,P_To_Ellinia_Hunt_GreenTreeTrunk,Ellinia_Hunt_GreenTreeTrunk,P_To_Ellinia_Village_MinimiMain,true,Ellinia village east
E03B,Ellinia_Hunt_GreenTreeTrunk,P_To_Ellinia_Village_MinimiMain,Ellinia_Village_MinimiMain,P_To_Ellinia_Hunt_GreenTreeTrunk,true,Ellinia village east
E04A,Ellinia_Hunt_GreenTreeTrunk,P_To_Ellinia_Hunt_TreeTrunkNest2,Ellinia_Hunt_TreeTrunkNest2,P_To_Ellinia_Hunt_GreenTreeTrunk,true,Ellinia to tree nest
E04B,Ellinia_Hunt_TreeTrunkNest2,P_To_Ellinia_Hunt_GreenTreeTrunk,Ellinia_Hunt_GreenTreeTrunk,P_To_Ellinia_Hunt_TreeTrunkNest2,true,Ellinia to tree nest
E05A,Ellinia_Hunt_TreeTrunkNest2,P_To_SixPathCrossway,SixPathCrossway,P_To_Ellinia_Hunt_TreeTrunkNest2,true,Ellinia to SixPath
E05B,SixPathCrossway,P_To_Ellinia_Hunt_TreeTrunkNest2,Ellinia_Hunt_TreeTrunkNest2,P_To_SixPathCrossway,true,Ellinia to SixPath
P01A,Perion_Boss_Stumpy,P_To_Perion_Hunt_SouthernRidge,Perion_Hunt_SouthernRidge,P_To_Perion_Boss_Stumpy,true,Perion boss route
P01B,Perion_Hunt_SouthernRidge,P_To_Perion_Boss_Stumpy,Perion_Boss_Stumpy,P_To_Perion_Hunt_SouthernRidge,true,Perion boss route
P02A,Perion_Hunt_SouthernRidge,P_To_Perion_Village_MinimiMain,Perion_Village_MinimiMain,P_To_Perion_Hunt_SouthernRidge,true,Perion village west
P02B,Perion_Village_MinimiMain,P_To_Perion_Hunt_SouthernRidge,Perion_Hunt_SouthernRidge,P_To_Perion_Village_MinimiMain,true,Perion village west
P03A,Perion_Village_MinimiMain,P_To_Perion_Hunt_WildBoarLand,Perion_Hunt_WildBoarLand,P_To_Perion_Village_MinimiMain,true,Perion village east
P03B,Perion_Hunt_WildBoarLand,P_To_Perion_Village_MinimiMain,Perion_Village_MinimiMain,P_To_Perion_Hunt_WildBoarLand,true,Perion village east
P04A,Perion_Hunt_WildBoarLand,P_To_Perion_Hunt_NorthernRidge,Perion_Hunt_NorthernRidge,P_To_Perion_Hunt_WildBoarLand,true,Perion to northern ridge
P04B,Perion_Hunt_NorthernRidge,P_To_Perion_Hunt_WildBoarLand,Perion_Hunt_WildBoarLand,P_To_Perion_Hunt_NorthernRidge,true,Perion to northern ridge
P05A,Perion_Hunt_NorthernRidge,P_To_SixPathCrossway,SixPathCrossway,P_To_Perion_Hunt_NorthernRidge,true,Perion to SixPath
P05B,SixPathCrossway,P_To_Perion_Hunt_NorthernRidge,Perion_Hunt_NorthernRidge,P_To_SixPathCrossway,true,Perion to SixPath
N01A,Nautilus_Boss_Pianus,P_To_Nautilus_Hunt_RibbonPigBeach,Nautilus_Hunt_RibbonPigBeach,P_To_Nautilus_Boss_Pianus,true,Nautilus boss route
N01B,Nautilus_Hunt_RibbonPigBeach,P_To_Nautilus_Boss_Pianus,Nautilus_Boss_Pianus,P_To_Nautilus_Hunt_RibbonPigBeach,true,Nautilus boss route
N02A,Nautilus_Hunt_RibbonPigBeach,P_To_Nautilus_Village_MinimiShip,Nautilus_Village_MinimiShip,P_To_Nautilus_Hunt_RibbonPigBeach,true,Nautilus ship route
N02B,Nautilus_Village_MinimiShip,P_To_Nautilus_Hunt_RibbonPigBeach,Nautilus_Hunt_RibbonPigBeach,P_To_Nautilus_Village_MinimiShip,true,Nautilus ship route
N03A,Nautilus_Village_MinimiShip,P_To_Nautilus_Village_MinimiMain,Nautilus_Village_MinimiMain,P_To_Nautilus_Village_MinimiShip,true,Nautilus main village
N03B,Nautilus_Village_MinimiMain,P_To_Nautilus_Village_MinimiShip,Nautilus_Village_MinimiShip,P_To_Nautilus_Village_MinimiMain,true,Nautilus main village
N04A,Nautilus_Village_MinimiMain,P_To_Nautilus_Hunt_PigPasture,Nautilus_Hunt_PigPasture,P_To_Nautilus_Village_MinimiMain,true,Nautilus pig pasture
N04B,Nautilus_Hunt_PigPasture,P_To_Nautilus_Village_MinimiMain,Nautilus_Village_MinimiMain,P_To_Nautilus_Hunt_PigPasture,true,Nautilus pig pasture
N05A,Nautilus_Hunt_PigPasture,P_To_Nautilus_Hunt_WayToBeach,Nautilus_Hunt_WayToBeach,P_To_Nautilus_Hunt_PigPasture,true,Nautilus beach approach
N05B,Nautilus_Hunt_WayToBeach,P_To_Nautilus_Hunt_PigPasture,Nautilus_Hunt_PigPasture,P_To_Nautilus_Hunt_WayToBeach,true,Nautilus beach approach
N06A,Nautilus_Hunt_WayToBeach,P_To_SixPathCrossway,SixPathCrossway,P_To_Nautilus_Hunt_WayToBeach,true,Nautilus to SixPath
N06B,SixPathCrossway,P_To_Nautilus_Hunt_WayToBeach,Nautilus_Hunt_WayToBeach,P_To_SixPathCrossway,true,Nautilus to SixPath
L01A,LithHarbor_Boss_Mano,P_To_LithHarbor_Hunt_ForestTrail1,LithHarbor_Hunt_ForestTrail1,P_To_LithHarbor_Boss_Mano,true,Lith boss route
L01B,LithHarbor_Hunt_ForestTrail1,P_To_LithHarbor_Boss_Mano,LithHarbor_Boss_Mano,P_To_LithHarbor_Hunt_ForestTrail1,true,Lith boss route
L02A,LithHarbor_Hunt_ForestTrail1,P_To_LithHarbor_Village_MinimiMain,LithHarbor_Village_MinimiMain,P_To_LithHarbor_Hunt_ForestTrail1,true,Lith boss approach
L02B,LithHarbor_Village_MinimiMain,P_To_LithHarbor_Hunt_ForestTrail1,LithHarbor_Hunt_ForestTrail1,P_To_LithHarbor_Village_MinimiMain,true,Lith boss approach
L03A,LithHarbor_Village_MinimiMain,P_To_LithHarbor_Hunt_RightAroundLithHarbor,LithHarbor_Hunt_RightAroundLithHarbor,P_To_LithHarbor_Village_MinimiMain,true,Lith hunt 1
L03B,LithHarbor_Hunt_RightAroundLithHarbor,P_To_LithHarbor_Village_MinimiMain,LithHarbor_Village_MinimiMain,P_To_LithHarbor_Hunt_RightAroundLithHarbor,true,Lith hunt 1
L04A,LithHarbor_Hunt_RightAroundLithHarbor,P_To_LithHarbor_Hunt_PigBeach,LithHarbor_Hunt_PigBeach,P_To_LithHarbor_Hunt_RightAroundLithHarbor,true,Lith hunt 2
L04B,LithHarbor_Hunt_PigBeach,P_To_LithHarbor_Hunt_RightAroundLithHarbor,LithHarbor_Hunt_RightAroundLithHarbor,P_To_LithHarbor_Hunt_PigBeach,true,Lith hunt 2
L05A,LithHarbor_Hunt_PigBeach,P_To_SixPathCrossway,SixPathCrossway,P_To_LithHarbor_Hunt_PigBeach,true,Lith to SixPath
L05B,SixPathCrossway,P_To_LithHarbor_Hunt_PigBeach,LithHarbor_Hunt_PigBeach,P_To_SixPathCrossway,true,Lith to SixPath
