MapName,NpcId,X,Y,#Note
Nautilus_Village_MinimiShip,9000202,-1.85,6.35,원본 npc-4839
Nautilus_Village_MinimiShip,1091001,-9.66,0.33,원본 npc-4678
Nautilus_Village_MinimiShip,9010000,3.01,0.41,원본 npc-4405
Nautilus_Village_MinimiShip,1092010,-11.18,0.34,원본 npc-4319
Nautilus_Village_MinimiShip,9010010,4.69,0.41,원본 npc-3937
Nautilus_Village_MinimiShip,1092007,-11.47,6.36,원본 npc-3764
Nautilus_Village_MinimiShip,1012000,-7.53,6.31,원본 npc-3539
Nautilus_Village_MinimiShip,9001119,0.03,6.45,원본 npc-3430
Nautilus_Village_MinimiShip,9010040,-0.96,0.49,원본 npc-3171
Nautilus_Village_MinimiShip,1092002,-16.59,-5.65,원본 npc-2984
Nautilus_Village_MinimiShip,9010109,6.97,0.37,원본 npc-2172
Nautilus_Village_MinimiShip,1091002,-5.22,0.34,원본 npc-2094
Nautilus_Village_MinimiShip,9001117,-1.79,6.38,원본 npc-2082
Nautilus_Village_MinimiShip,9000188,-0.59,6.42,원본 npc-1999
Nautilus_Village_MinimiShip,1092003,-2.25,-5.6,원본 npc-1896
Nautilus_Village_MinimiShip,9000124,9.33,0.44,원본 npc-1674
Nautilus_Village_MinimiShip,9010106,5.68,0.4,원본 npc-1272
Nautilus_Village_MinimiShip,1092001,-7.73,-4.54,원본 npc-1239
Nautilus_Village_MinimiShip,9071003,16.35,6.36,원본 npc-1048
Nautilus_Village_MinimiShip,9000201,-2.9,6.43,원본 npc-2027
Nautilus_Village_MinimiShip,9001116,-2.9,6.43,원본 npc-5828
Nautilus_Village_MinimiShip,9000089,12,6.39,원본 npc-4511
Nautilus_Village_MinimiShip,9000088,12,6.39,원본 npc-5898
Nautilus_Village_MinimiShip,9000086,12,6.39,원본 npc-5898_1
Nautilus_Village_MinimiShip,9000087,12,6.39,원본 npc-5898_2
LithHarbor_Village_MinimiMain,9010022,10.81,1.11,원본 npc-5862
KerningCity_Village_MinimiMain,9201594,6.99,6.95,원본 npc-2405
Ellinia_Boss_Ephenia,1033220,-5.52,9.76,원본 npc-7659
Perion_Hunt_WildBoarLand,1022107,-0.82,-19.01,원본 npc-1178
Nautilus_Hunt_RibbonPigBeach,1092004,0.73,1.81,원본 npc-2206
